AlexNet      line 1 cols 1-7 is T_Identifier 
ReLU         line 21 cols 10-13 is T_ReLU 
(            line 21 cols 14-14 is '(' 
inplace      line 21 cols 15-21 is T_inplace 
=            line 21 cols 22-22 is '=' 
True         line 21 cols 23-26 is T_BoolConstant (value = true)
)            line 21 cols 27-27 is ')' 
(            line 22 cols 5-5 is '(' 
3            line 22 cols 6-6 is T_IntConstant (value = 3)
)            line 22 cols 7-7 is ')' 
:            line 22 cols 8-8 is ':' 
Dropout      line 22 cols 10-16 is T_Dropout 
(            line 22 cols 17-17 is '(' 
p            line 22 cols 18-18 is T_p 
=            line 22 cols 19-19 is '=' 
0.5          line 22 cols 20-22 is T_DoubleConstant (value = 0.5)
,            line 22 cols 23-23 is ',' 
inplace      line 22 cols 25-31 is T_inplace 
=            line 22 cols 32-32 is '=' 
False        line 22 cols 33-37 is T_BoolConstant (value = false)
)            line 22 cols 38-38 is ')' 
(            line 23 cols 5-5 is '(' 
4            line 23 cols 6-6 is T_IntConstant (value = 4)
)            line 23 cols 7-7 is ')' 
:            line 23 cols 8-8 is ':' 
Linear       line 23 cols 10-15 is T_Linear 
(            line 23 cols 16-16 is '(' 
in_features  line 23 cols 17-27 is T_in_features 
=            line 23 cols 28-28 is '=' 
4096         line 23 cols 29-32 is T_IntConstant (value = 4096)
,            line 23 cols 33-33 is ',' 
out_features line 23 cols 35-46 is T_out_features 
=            line 23 cols 47-47 is '=' 
4096         line 23 cols 48-51 is T_IntConstant (value = 4096)
,            line 23 cols 52-52 is ',' 
bias         line 23 cols 54-57 is T_bias 
=            line 23 cols 58-58 is '=' 
True         line 23 cols 59-62 is T_BoolConstant (value = true)
)            line 23 cols 63-63 is ')' 
(            line 24 cols 5-5 is '(' 
5            line 24 cols 6-6 is T_IntConstant (value = 5)
)            line 24 cols 7-7 is ')' 
:            line 24 cols 8-8 is ':' 
ReLU         line 24 cols 10-13 is T_ReLU 
(            line 24 cols 14-14 is '(' 
inplace      line 24 cols 15-21 is T_inplace 
=            line 24 cols 22-22 is '=' 
True         line 24 cols 23-26 is T_BoolConstant (value = true)
)            line 24 cols 27-27 is ')' 
(            line 25 cols 5-5 is '(' 
6            line 25 cols 6-6 is T_IntConstant (value = 6)
)            line 25 cols 7-7 is ')' 
:            line 25 cols 8-8 is ':' 
Linear       line 25 cols 10-15 is T_Linear 
(            line 25 cols 16-16 is '(' 
in_features  line 25 cols 17-27 is T_in_features 
=            line 25 cols 28-28 is '=' 
4096         line 25 cols 29-32 is T_IntConstant (value = 4096)
,            line 25 cols 33-33 is ',' 
out_features line 25 cols 35-46 is T_out_features 
=            line 25 cols 47-47 is '=' 
1000         line 25 cols 48-51 is T_IntConstant (value = 1000)
,            line 25 cols 52-52 is ',' 
bias         line 25 cols 54-57 is T_bias 
=            line 25 cols 58-58 is '=' 
True         line 25 cols 59-62 is T_BoolConstant (value = true)
)            line 25 cols 63-63 is ')' 
)            line 26 cols 3-3 is ')' 
)            line 27 cols 1-1 is ')' 
